,,,,
,Table 1. Pricing,Growth,Optimization,Exit
,Advisory,$1200,$150/document,$100 + $100/lead
,Consulting,$300 to $500,$15/month (per employee),$500 + 15% profits
,Implementation,$7000+,$1800+,$300/month
,,,,
,,,,
,Table 2. Deliverables,Growth,Optimization,Exit
,Advisory,Marketing Strategy,SOPs,Sale Profile
,Consulting,Social media campaign,Workforce Training,Due Diligence
,Implementation,Digital Branding,Courses,Negotiations
,,,,
,,,,
,Table 3. Terms,Growth,Optimization,Exit
,Advisory,1 payment on 3 month contingency,3 revisions allowed,Exclusively publish on our site
,Consulting,per month for 3 months minimum,management or managing owners must take course.,Requires full disclosure of financial documents.
,Implementation,per month,Courses are limited to 10 total minutes per over 3-5 videos.,Our Negotiations technology requires an NDA.
